samples,acc,prec,rec,fpr,ngrams
136270,0.781,0.9932088285229203,0.73125,0.02,1.0
137270,0.859,0.9948979591836735,0.8091286307053942,0.010830324909747292,1.0
138270,0.817,0.9947916666666666,0.7609561752988048,0.012145748987854251,1.0
139270,0.858,0.9984732824427481,0.8226415094339623,0.004878048780487805,1.0
140270,0.832,0.9986979166666666,0.8211991434689507,0.015151515151515152,1.0
141270,0.867,0.9974587039390089,0.8569868995633187,0.023809523809523808,1.0
142270,0.908,1.0,0.9026455026455027,0.0,1.0
143270,0.889,0.9987745098039216,0.8810810810810811,0.013333333333333334,1.0
144270,0.863,0.9987228607918263,0.8518518518518519,0.012195121951219513,1.0
145270,0.853,1.0,0.8342728297632469,0.0,1.0
146270,0.876,0.9987421383647799,0.8658669574700109,0.012048192771084338,1.0
147270,0.894,1.0,0.8849077090119435,0.0,1.0
148270,0.9,0.9987623762376238,0.890728476821192,0.010638297872340425,1.0
149270,0.873,1.0,0.8667366211962224,0.0,1.0
150270,0.898,0.9975216852540273,0.8895027624309392,0.021052631578947368,1.0
151270,0.893,1.0,0.8856837606837606,0.0,1.0
152270,0.867,0.9987228607918263,0.8555798687089715,0.011627906976744186,1.0
153270,0.883,0.993455497382199,0.8714121699196326,0.03875968992248062,1.0
154270,0.932,0.9909443725743855,0.9262394195888755,0.04046242774566474,1.0
155270,0.866,0.8853118712273642,0.851063829787234,0.11801242236024845,1.0
156270,0.869,0.9219858156028369,0.85667215815486,0.11195928753180662,1.0
157270,0.868,0.9448275862068966,0.845679012345679,0.09090909090909091,1.0
158270,0.862,0.9155629139072847,0.8640625,0.14166666666666666,1.0
159270,0.897,0.9730639730639731,0.869172932330827,0.04776119402985075,1.0
160270,0.88,0.9768683274021353,0.836890243902439,0.0377906976744186,1.0
161270,0.9,0.9728813559322034,0.8723404255319149,0.04678362573099415,1.0
162270,0.91,0.9860627177700348,0.8734567901234568,0.022727272727272728,1.0
163270,0.893,0.9730639730639731,0.8639760837070254,0.04833836858006042,1.0
164270,0.911,0.9815436241610739,0.8823529411764706,0.032640949554896145,1.0
165270,0.88,0.9431034482758621,0.862776025236593,0.09016393442622951,1.0
166270,0.918,0.991652754590985,0.8852459016393442,0.015197568389057751,1.0
167270,0.899,0.9836065573770492,0.8544303797468354,0.024456521739130436,1.0
168270,0.923,0.9849246231155779,0.8963414634146342,0.02616279069767442,1.0
169270,0.913,0.9769736842105263,0.8905547226386806,0.042042042042042045,1.0
170270,0.918,0.9878472222222222,0.8835403726708074,0.019662921348314606,1.0
171270,0.912,0.9738988580750407,0.8923766816143498,0.04833836858006042,1.0
172270,0.908,0.9895652173913043,0.8687022900763359,0.017391304347826087,1.0
173270,0.92,0.9948717948717949,0.8831562974203339,0.008797653958944282,1.0
174270,0.911,0.9765886287625418,0.8861911987860395,0.04105571847507331,1.0
175270,0.914,0.9850249584026622,0.8849028400597907,0.027190332326283987,1.0
176270,0.908,0.9845890410958904,0.8738601823708206,0.02631578947368421,1.0
177270,0.915,0.9802631578947368,0.890881913303438,0.03625377643504532,1.0
178270,0.885,0.9791304347826087,0.8453453453453453,0.03592814371257485,1.0
179270,0.876,0.9789473684210527,0.8554533508541393,0.058577405857740586,1.0
180270,0.921,0.9830795262267343,0.8938461538461538,0.02857142857142857,1.0
181270,0.93,0.9935379644588045,0.9030837004405287,0.012539184952978056,1.0
182270,0.924,0.9885057471264368,0.8971684053651267,0.02127659574468085,1.0
183270,0.925,0.9983498349834984,0.8910162002945509,0.003115264797507788,1.0
184270,0.903,0.9714285714285714,0.878419452887538,0.049707602339181284,1.0
185270,0.91,0.9730215827338129,0.8782467532467533,0.0390625,1.0
186270,0.919,0.9739413680781759,0.9019607843137255,0.04747774480712166,1.0
187270,0.917,0.9801652892561984,0.8930722891566265,0.03571428571428571,1.0
188270,0.904,0.9683860232945092,0.8831562974203339,0.05571847507331378,1.0
189270,0.912,0.9746192893401016,0.8875192604006163,0.042735042735042736,1.0
190270,0.914,0.9826224328593997,0.8923959827833573,0.036303630363036306,1.0
191270,0.911,0.9766355140186916,0.8944365192582026,0.05016722408026756,1.0
192270,0.9,0.9765840220385675,0.8952020202020202,0.08173076923076923,1.0
193270,0.846,0.950920245398773,0.8355795148247979,0.12403100775193798,1.0
194270,0.928,0.9760479041916168,0.9209039548022598,0.0547945205479452,1.0
195270,0.89,0.9707401032702238,0.8584474885844748,0.04956268221574344,1.0
196270,0.939,0.9804511278195489,0.9314285714285714,0.043333333333333335,1.0
197270,0.926,0.9844632768361582,0.9171052631578948,0.04583333333333333,1.0
198270,0.996,0.9989868287740629,0.9969666329625885,0.09090909090909091,1.0
199270,0.998,1.0,0.9979859013091642,0.0,1.0
200270,0.962,0.9975874547647768,0.9582850521436849,0.014598540145985401,1.0
201270,0.899,0.9945429740791268,0.8825665859564165,0.022988505747126436,1.0
202270,0.927,0.9876543209876543,0.9078014184397163,0.02711864406779661,1.0
203270,0.947,0.9909774436090225,0.93342776203966,0.02040816326530612,1.0
204270,0.867,0.9776357827476039,0.8372093023255814,0.05204460966542751,1.0
205270,0.911,0.9829642248722317,0.8795731707317073,0.029069767441860465,1.0
206270,0.924,0.9802955665024631,0.903177004538578,0.035398230088495575,1.0
207270,0.929,0.9793103448275862,0.9059011164274322,0.032171581769437,1.0
208270,0.929,0.9946380697050938,0.9171817058096415,0.020942408376963352,1.0
209270,0.943,0.9862637362637363,0.938562091503268,0.0425531914893617,1.0
210270,0.942,0.9775784753363229,0.9383070301291249,0.04950495049504951,1.0
211270,0.945,0.9910979228486647,0.9316596931659693,0.02120141342756184,1.0
212270,0.944,0.9823269513991163,0.9381153305203939,0.04152249134948097,1.0
213270,0.946,0.9810495626822158,0.9425770308123249,0.045454545454545456,1.0
214270,0.94,0.9918032786885246,0.9307692307692308,0.02727272727272727,1.0
215270,0.883,0.9744463373083475,0.8486646884272997,0.046012269938650305,1.0
216270,0.914,0.9944521497919556,0.8973717146433041,0.01990049751243781,1.0
217270,0.945,0.9823788546255506,0.9396067415730337,0.041666666666666664,1.0
218270,0.958,0.975,0.9558823529411765,0.03865979381443299,1.0
219270,0.966,0.9778911564625851,0.964765100671141,0.03217821782178218,1.0
220270,0.962,0.9759229534510433,0.9635499207606973,0.04065040650406504,1.0
221270,0.957,0.9790660225442834,0.9529780564263323,0.03591160220994475,1.0
222270,0.97,0.9958448753462604,0.9638069705093834,0.011811023622047244,1.0
223270,0.956,0.9759615384615384,0.9545454545454546,0.04143646408839779,1.0
224270,0.949,0.9792027729636048,0.9354304635761589,0.030303030303030304,1.0
225270,0.959,0.984873949579832,0.948220064724919,0.02356020942408377,1.0
226270,0.964,0.9763912310286678,0.9633943427620633,0.03508771929824561,1.0
227270,0.979,0.9946879150066401,0.9778067885117493,0.017094017094017096,1.0
228270,0.974,0.9761029411764706,0.9761029411764706,0.02850877192982456,1.0
229270,0.971,0.974308300395257,0.9685658153241651,0.026476578411405296,1.0
230270,0.963,0.9772296015180265,0.9537037037037037,0.02608695652173913,1.0
231270,0.961,0.9727272727272728,0.9570661896243292,0.034013605442176874,1.0
232270,0.964,0.9877551020408163,0.9641434262948207,0.03643724696356275,1.0
233270,0.965,0.9695340501792115,0.9677996422182469,0.03854875283446712,1.0
234270,0.967,0.9748653500897666,0.9661921708185054,0.0319634703196347,1.0
235270,0.959,0.9769673704414588,0.9460966542750929,0.025974025974025976,1.0
236270,0.964,0.9840764331210191,0.9596273291925466,0.028089887640449437,1.0
237270,0.967,0.9853801169590644,0.9670014347202296,0.033003300330033,1.0
238270,0.926,0.9734345351043643,0.8952879581151832,0.03278688524590164,1.0
239270,0.951,0.9789983844911146,0.9439252336448598,0.036312849162011177,1.0
240270,0.955,0.9716814159292035,0.9498269896193772,0.037914691943127965,1.0
241270,0.974,0.9874776386404294,0.9667250437828371,0.016317016317016316,1.0
242270,0.972,0.9920382165605095,0.9643962848297214,0.014124293785310734,1.0
243270,0.972,0.9880239520958084,0.9574468085106383,0.012422360248447204,1.0
244270,0.966,0.9884615384615385,0.948339483394834,0.013100436681222707,1.0
245270,0.964,0.9826086956521739,0.9560067681895094,0.02444987775061125,1.0
246270,0.97,0.99375,0.9464285714285714,0.006048387096774193,1.0
247270,0.956,0.9873015873015873,0.9452887537993921,0.023391812865497075,1.0
248270,0.945,0.976890756302521,0.9135559921414538,0.02240325865580448,1.0
249270,0.97,0.9830508474576272,0.9547325102880658,0.01556420233463035,1.0
250270,0.976,0.9854014598540146,0.9712230215827338,0.018018018018018018,1.0
251270,0.969,0.9932546374367622,0.9561688311688312,0.010416666666666666,1.0
252270,0.963,0.9909255898366606,0.9446366782006921,0.011848341232227487,1.0
253270,0.965,0.992818671454219,0.946917808219178,0.009615384615384616,1.0
254270,0.946,0.9911816578483245,0.9198036006546645,0.012853470437017995,1.0
255270,0.969,0.9849906191369606,0.958029197080292,0.017699115044247787,1.0
256270,0.938,0.9925705794947994,0.9213793103448276,0.01818181818181818,1.0
257270,0.97,0.9940119760479041,0.9623188405797102,0.012903225806451613,1.0
258270,0.973,0.9950083194675541,0.9614147909967846,0.007936507936507936,1.0
259270,0.967,0.9957627118644068,0.9591836734693877,0.011320754716981131,1.0
260270,0.968,0.9928263988522238,0.9624478442280946,0.017793594306049824,1.0
261270,0.976,0.9955423476968797,0.9696092619392185,0.009708737864077669,1.0
