samples,acc,prec,rec,fpr,lrate
28270,0.721,0.7849829351535836,0.7504078303425775,0.32558139534883723,0.001
29270,0.707,0.8,0.7238689547581904,0.3231197771587744,0.001
30270,0.737,0.8347676419965576,0.7438650306748467,0.27586206896551724,0.001
31270,0.724,0.8255613126079447,0.7320061255742726,0.2910662824207493,0.001
32270,0.731,0.8131487889273357,0.7448494453248812,0.2926829268292683,0.001
33270,0.726,0.7943262411347518,0.7392739273927392,0.29441624365482233,0.001
34270,0.754,0.8469565217391304,0.7550387596899225,0.24788732394366197,0.001
35270,0.742,0.8302919708029197,0.7338709677419355,0.24473684210526317,0.001
36270,0.746,0.8408304498269896,0.75,0.26136363636363635,0.001
37270,0.737,0.8392857142857143,0.7309486780715396,0.25210084033613445,0.001
38270,0.764,0.8417508417508418,0.778816199376947,0.26256983240223464,0.001
39270,0.78,0.8322259136212624,0.8080645161290323,0.2657894736842105,0.001
40270,0.775,0.8494809688581315,0.78060413354531,0.23450134770889489,0.001
41270,0.757,0.8233333333333334,0.7828843106180665,0.2872628726287263,0.001
42270,0.787,0.8336106489184693,0.8159609120521173,0.25906735751295334,0.001
43270,0.754,0.8322259136212624,0.7755417956656346,0.2853107344632768,0.001
44270,0.798,0.8554621848739495,0.8144,0.22933333333333333,0.001
45270,0.784,0.8558875219683656,0.784219001610306,0.21635883905013192,0.001
46270,0.78,0.8554817275747508,0.7947530864197531,0.2471590909090909,0.001
47270,0.79,0.849025974025974,0.8171875,0.25833333333333336,0.001
48270,0.781,0.83003300330033,0.8126009693053312,0.27034120734908135,0.001
49270,0.781,0.8578680203045685,0.7897196261682243,0.2346368715083799,0.001
50270,0.763,0.8263069139966274,0.7852564102564102,0.27393617021276595,0.001
51270,0.796,0.8474295190713101,0.8202247191011236,0.2440318302387268,0.001
52270,0.806,0.8842975206611571,0.8118361153262519,0.20527859237536658,0.001
53270,0.777,0.8396551724137931,0.7893030794165316,0.24281984334203655,0.001
