samples,acc,prec,rec
137270,0.931,0.9698275862068966,0.9336099585062241
138270,0.948,0.9679572763684913,0.9628154050464808
139270,0.96,0.9870967741935484,0.9622641509433962
140270,0.889,0.9951865222623345,0.8854389721627409
141270,0.963,0.9954904171364148,0.9639737991266376
142270,0.965,0.9924242424242424,0.9703703703703703
143270,0.955,0.9910714285714286,0.96
144270,0.969,0.9900552486187846,0.9760348583877996
145270,0.95,0.9894736842105263,0.9537767756482526
146270,0.968,0.994413407821229,0.9705561613958561
147270,0.952,0.9866220735785953,0.9609120521172638
148270,0.97,0.9899328859060402,0.9768211920529801
149270,0.94,0.9933701657458563,0.9433368310598111
150270,0.967,0.9887892376681614,0.974585635359116
151270,0.948,0.9900221729490022,0.9540598290598291
152270,0.972,0.9922222222222222,0.9770240700218819
153270,0.979,0.9851598173515982,0.9908151549942594
154270,0.952,0.9767441860465116,0.9649334945586457
155270,0.94,0.9471624266144814,0.9361702127659575
156270,0.949,0.9633333333333334,0.9522240527182867
157270,0.977,0.9905808477237049,0.9737654320987654
158270,0.976,0.9951768488745981,0.9671875
159270,0.956,0.9769585253456221,0.956390977443609
160270,0.973,0.9906396255850234,0.9679878048780488
161270,0.975,0.9846860643185299,0.9772036474164134
162270,0.965,0.9665144596651446,0.9799382716049383
163270,0.98,0.9939117199391172,0.976083707025411
164270,0.981,0.9938650306748467,0.9773755656108597
165270,0.969,0.9808612440191388,0.9700315457413249
166270,0.984,0.9939668174962293,0.9821162444113264
167270,0.982,0.9811912225705329,0.990506329113924
168270,0.968,0.9698795180722891,0.9817073170731707
169270,0.973,0.9804804804804805,0.9790104947526237
170270,0.986,0.9906542056074766,0.9875776397515528
171270,0.98,0.9850523168908819,0.9850523168908819
172270,0.985,0.9804804804804805,0.9969465648854962
173270,0.973,0.9831804281345565,0.9757207890743551
174270,0.974,0.9817351598173516,0.9787556904400607
175270,0.981,0.9909365558912386,0.9805680119581465
176270,0.988,0.9938837920489296,0.9878419452887538
177270,0.975,0.9805970149253731,0.9820627802690582
178270,0.962,0.9728915662650602,0.96996996996997
179270,0.936,0.9715832205683356,0.9434954007884363
180270,0.978,0.9860681114551083,0.98
181270,0.969,0.9954268292682927,0.9588839941262849
182270,0.969,0.9938271604938271,0.9597615499254843
183270,0.982,0.9984917043740573,0.9749631811487481
184270,0.974,0.9922118380062306,0.9680851063829787
185270,0.978,0.9966555183946488,0.9675324675324676
186270,0.983,0.995398773006135,0.9788838612368024
187270,0.971,0.9922480620155039,0.963855421686747
188270,0.964,0.9698340874811463,0.9757207890743551
189270,0.971,0.984375,0.9707241910631741
190270,0.964,0.9741750358680057,0.9741750358680057
191270,0.953,0.9684813753581661,0.9643366619115549
192270,0.875,0.9854439592430859,0.8547979797979798
193270,0.781,0.992467043314501,0.7102425876010782
194270,0.869,0.998272884283247,0.8163841807909604
195270,0.836,0.9920159680638723,0.756468797564688
196270,0.874,0.9948275862068966,0.8242857142857143
197270,0.887,0.9954058192955589,0.8552631578947368
198270,0.996,0.9989868287740629,0.9969666329625885
199270,0.998,1.0,0.9979859013091642
200270,0.934,0.9975031210986267,0.9258400926998841
201270,0.814,1.0,0.774818401937046
202270,0.887,0.9983164983164983,0.8411347517730496
203270,0.905,0.9967479674796748,0.8682719546742209
204270,0.9,0.9906687402799378,0.8714090287277702
205270,0.928,0.9965986394557823,0.8932926829268293
206270,0.927,0.99,0.8986384266263238
207270,0.919,0.9963636363636363,0.8740031897926634
208270,0.883,0.9985590778097982,0.8566131025957973
209270,0.906,0.9926578560939795,0.8836601307189542
210270,0.9,0.9933884297520661,0.8622668579626973
211270,0.906,0.9984,0.8702928870292888
212270,0.938,0.9984639016897081,0.9142053445850914
213270,0.937,0.998468606431853,0.9131652661064426
214270,0.923,0.9943741209563994,0.9064102564102564
215270,0.82,0.9900793650793651,0.7403560830860534
216270,0.876,1.0,0.8448060075093867
217270,0.931,1.0,0.9030898876404494
218270,0.938,0.9910714285714286,0.9068627450980392
219270,0.959,0.9964221824686941,0.9345637583892618
220270,0.942,0.9948186528497409,0.9128367670364501
221270,0.947,0.9966044142614601,0.9200626959247649
222270,0.916,1.0,0.8873994638069705
223270,0.94,0.9948630136986302,0.9106583072100314
224270,0.898,0.9883268482490273,0.8410596026490066
225270,0.885,0.9883495145631068,0.8236245954692557
226270,0.959,0.9946996466431095,0.9367720465890182
227270,0.931,0.9985693848354793,0.9112271540469974
228270,0.957,0.996039603960396,0.9246323529411765
229270,0.964,0.9937369519832986,0.9351669941060904
230270,0.956,0.9901185770750988,0.9277777777777778
231270,0.953,0.9866920152091255,0.9284436493738819
232270,0.936,0.99568345323741,0.9189907038512616
233270,0.934,0.9900596421471173,0.8908765652951699
234270,0.942,0.9941176470588236,0.902135231316726
235270,0.955,0.9861932938856016,0.929368029739777
236270,0.951,0.9950083194675541,0.9285714285714286
237270,0.969,0.9940652818991098,0.9612625538020086
238270,0.915,0.988,0.8621291448516579
239270,0.946,0.9949494949494949,0.9205607476635514
240270,0.959,0.9926605504587156,0.9359861591695502
241270,0.953,0.9924812030075187,0.9246935201401051
242270,0.958,0.9967105263157895,0.9380804953560371
243270,0.955,0.9957983193277311,0.9168278529980658
244270,0.952,0.9920318725099602,0.9188191881918819
245270,0.957,0.9892857142857143,0.937394247038917
246270,0.943,0.9933774834437086,0.8928571428571429
247270,0.917,0.9965457685664939,0.8768996960486323
248270,0.911,0.9883720930232558,0.8349705304518664
249270,0.948,0.9931818181818182,0.8991769547325102
250270,0.955,0.988527724665392,0.9298561151079137
251270,0.946,0.9964664310954063,0.9155844155844156
252270,0.919,0.9960079840319361,0.8633217993079585
253270,0.875,0.9956803455723542,0.7893835616438356
254270,0.872,0.9918533604887984,0.7970540098199672
255270,0.876,0.988479262672811,0.7828467153284672
256270,0.888,1.0,0.8455172413793104
257270,0.926,1.0,0.8927536231884058
258270,0.934,0.9964285714285714,0.8971061093247589
259270,0.933,0.9970238095238095,0.9115646258503401
260270,0.96,0.9985315712187959,0.9457579972183588
261270,0.957,0.9969325153374233,0.9406657018813314
262270,0.926,0.9985141158989599,0.9020134228187919
263270,0.938,0.9971550497866287,0.9211563731931669
264270,0.93,0.9966832504145937,0.898355754857997
265270,0.961,0.9924812030075187,0.9510086455331412
266270,0.922,0.9908952959028832,0.9006896551724138
