samples,acc,prec,rec,fpr,ngrams
60270,0.984,0.988673139158576,0.9854838709677419,0.018421052631578946,1.0
61270,0.984,0.9903225806451613,0.9839743589743589,0.015957446808510637,1.0
62270,0.968,0.982532751091703,0.9712230215827338,0.03934426229508197,1.0
63270,0.951,0.98875,0.9518652226233454,0.05325443786982249,1.0
64270,0.982,0.9976190476190476,0.9812646370023419,0.0136986301369863,1.0
65270,0.95,0.9849246231155779,0.9537712895377128,0.06741573033707865,1.0
66270,0.974,0.9866844207723036,0.9788639365918098,0.0411522633744856,1.0
67270,0.962,0.9853137516688919,0.9647058823529412,0.04680851063829787,1.0
68270,0.953,0.990909090909091,0.950186799501868,0.03553299492385787,1.0
69270,0.961,0.9657534246575342,0.980528511821975,0.08896797153024912,1.0
70270,0.97,0.9898477157360406,0.972568578553616,0.04040404040404041,1.0
71270,0.957,0.9820971867007673,0.9636135508155583,0.06896551724137931,1.0
72270,0.951,0.9786259541984733,0.9482248520710059,0.043209876543209874,1.0
73270,0.967,0.969187675070028,0.984352773826458,0.07407407407407407,1.0
74270,0.949,0.9716417910447761,0.9531478770131772,0.05993690851735016,1.0
75270,0.956,0.9730094466936572,0.9677852348993289,0.0784313725490196,1.0
76270,0.96,0.9598853868194842,0.9824046920821115,0.0880503144654088,1.0
77270,0.913,0.9193548387096774,0.9390444810543658,0.1272264631043257,1.0
78270,0.942,0.9472934472934473,0.9693877551020408,0.1178343949044586,1.0
79270,0.948,0.9551724137931035,0.9551724137931035,0.06190476190476191,1.0
80270,0.962,0.9527972027972028,0.9802158273381295,0.060810810810810814,1.0
81270,0.964,0.9601593625498008,0.9678714859437751,0.0398406374501992,1.0
82270,0.949,0.9523809523809523,0.9541284403669725,0.05714285714285714,1.0
83270,0.938,0.9164785553047404,0.9419953596287703,0.06502636203866433,1.0
84270,0.957,0.9457831325301205,0.9671457905544147,0.05263157894736842,1.0
85270,0.904,0.9220055710306406,0.8295739348370927,0.04658901830282862,1.0
86270,0.969,0.9621212121212122,0.9596977329974811,0.024875621890547265,1.0
87270,0.941,0.8761904761904762,0.847926267281106,0.033205619412515965,1.0
88270,0.938,0.4444444444444444,0.7692307692307693,0.052742616033755275,1.0
89270,0.931,0.743421052631579,0.7902097902097902,0.045507584597432905,1.0
90270,0.945,0.75,0.9387755102040817,0.053927315357561546,1.0
91270,0.934,0.7729257641921398,0.9267015706806283,0.06427688504326329,1.0
92270,0.955,0.8299319727891157,0.8591549295774648,0.029137529137529136,1.0
93270,0.928,0.7916666666666666,0.8962264150943396,0.06345177664974619,1.0
94270,0.953,0.928395061728395,0.9543147208121827,0.04785478547854786,1.0
95270,0.949,0.7853403141361257,0.9375,0.04880952380952381,1.0
96270,0.94,0.9182058047493403,0.9230769230769231,0.04975922953451043,1.0
97270,0.92,0.9357277882797732,0.9149722735674677,0.07407407407407407,1.0
98270,0.932,0.8542199488491049,0.9681159420289855,0.08702290076335878,1.0
99270,0.928,0.9206049149338374,0.941972920696325,0.08695652173913043,1.0
100270,0.944,0.8716049382716049,0.988795518207283,0.08087091757387248,1.0
101270,0.939,0.9262295081967213,0.8401486988847584,0.024623803009575923,1.0
102270,0.893,0.9601063829787234,0.7969094922737306,0.027422303473491772,1.0
103270,0.942,0.8304347826086956,0.9095238095238095,0.049367088607594936,1.0
104270,0.864,0.7328767123287672,0.5245098039215687,0.048994974874371856,1.0
105270,0.92,0.8063380281690141,0.9015748031496063,0.07372654155495978,1.0
106270,0.881,0.9163934426229509,0.8915470494417863,0.13672922252010725,1.0
107270,0.9,0.6060606060606061,0.9395973154362416,0.10693301997649823,1.0
108270,0.895,0.6398601398601399,0.9891891891891892,0.1263803680981595,1.0
109270,0.86,0.9573033707865168,0.7787934186471663,0.04194260485651214,1.0
110270,0.91,0.8610567514677103,0.9586056644880174,0.13123844731977818,1.0
111270,0.907,0.965183752417795,0.8693379790940766,0.04225352112676056,1.0
112270,0.923,0.9124767225325885,0.9423076923076923,0.09791666666666667,1.0
113270,0.943,0.9210526315789473,0.9702970297029703,0.08484848484848485,1.0
114270,0.934,0.8902147971360382,0.9491094147582697,0.0757825370675453,1.0
115270,0.87,0.9725158562367865,0.7972270363951474,0.030732860520094562,1.0
116270,0.918,0.8535469107551488,0.9539641943734015,0.10509031198686371,1.0
117270,0.93,0.9346153846153846,0.9310344827586207,0.07112970711297072,1.0
118270,0.898,0.9869565217391304,0.8254545454545454,0.013333333333333334,1.0
