samples,acc,prec,rec,fpr,buckets
167270,0.368,0.0,0.0,0.0,2.0
168270,0.344,0.0,0.0,0.0,2.0
169270,0.333,0.0,0.0,0.0,2.0
170270,0.356,0.0,0.0,0.0,2.0
171270,0.331,0.0,0.0,0.0,2.0
172270,0.345,0.0,0.0,0.0,2.0
173270,0.341,0.0,0.0,0.0,2.0
174270,0.341,0.0,0.0,0.0,2.0
175270,0.331,0.0,0.0,0.0,2.0
176270,0.342,0.0,0.0,0.0,2.0
177270,0.331,0.0,0.0,0.0,2.0
178270,0.334,0.0,0.0,0.0,2.0
179270,0.239,0.0,0.0,0.0,2.0
180270,0.35,0.0,0.0,0.0,2.0
181270,0.319,0.0,0.0,0.0,2.0
182270,0.329,0.0,0.0,0.0,2.0
183270,0.321,0.0,0.0,0.0,2.0
184270,0.342,0.0,0.0,0.0,2.0
185270,0.384,0.0,0.0,0.0,2.0
186270,0.337,0.0,0.0,0.0,2.0
187270,0.336,0.0,0.0,0.0,2.0
188270,0.341,0.0,0.0,0.0,2.0
189270,0.351,0.0,0.0,0.0,2.0
190270,0.303,0.0,0.0,0.0,2.0
191270,0.299,0.0,0.0,0.0,2.0
192270,0.208,0.0,0.0,0.0,2.0
193270,0.258,0.0,0.0,0.0,2.0
194270,0.292,0.0,0.0,0.0,2.0
195270,0.343,0.0,0.0,0.0,2.0
196270,0.3,0.0,0.0,0.0,2.0
197270,0.24,0.0,0.0,0.0,2.0
198270,0.011,0.0,0.0,0.0,2.0
199270,0.007,0.0,0.0,0.0,2.0
200270,0.137,0.0,0.0,0.0,2.0
201270,0.174,0.0,0.0,0.0,2.0
202270,0.295,0.0,0.0,0.0,2.0
203270,0.294,0.0,0.0,0.0,2.0
204270,0.269,0.0,0.0,0.0,2.0
205270,0.344,0.0,0.0,0.0,2.0
206270,0.339,0.0,0.0,0.0,2.0
207270,0.373,0.0,0.0,0.0,2.0
208270,0.191,0.0,0.0,0.0,2.0
209270,0.235,0.0,0.0,0.0,2.0
210270,0.303,0.0,0.0,0.0,2.0
211270,0.283,0.0,0.0,0.0,2.0
212270,0.289,0.0,0.0,0.0,2.0
213270,0.286,0.0,0.0,0.0,2.0
214270,0.22,0.0,0.0,0.0,2.0
215270,0.326,0.0,0.0,0.0,2.0
216270,0.201,0.0,0.0,0.0,2.0
217270,0.288,0.0,0.0,0.0,2.0
218270,0.388,0.0,0.0,0.0,2.0
219270,0.404,0.0,0.0,0.0,2.0
220270,0.369,0.0,0.0,0.0,2.0
221270,0.362,0.0,0.0,0.0,2.0
222270,0.254,0.0,0.0,0.0,2.0
223270,0.362,0.0,0.0,0.0,2.0
224270,0.396,0.0,0.0,0.0,2.0
225270,0.382,0.0,0.0,0.0,2.0
226270,0.399,0.0,0.0,0.0,2.0
227270,0.234,0.0,0.0,0.0,2.0
228270,0.456,0.0,0.0,0.0,2.0
229270,0.491,0.0,0.0,0.0,2.0
230270,0.46,0.0,0.0,0.0,2.0
231270,0.441,0.0,0.0,0.0,2.0
232270,0.247,0.0,0.0,0.0,2.0
233270,0.441,0.0,0.0,0.0,2.0
234270,0.438,0.0,0.0,0.0,2.0
235270,0.462,0.0,0.0,0.0,2.0
236270,0.356,0.0,0.0,0.0,2.0
237270,0.303,0.0,0.0,0.0,2.0
238270,0.427,0.0,0.0,0.0,2.0
239270,0.358,0.0,0.0,0.0,2.0
240270,0.422,0.0,0.0,0.0,2.0
241270,0.429,0.0,0.0,0.0,2.0
242270,0.354,0.0,0.0,0.0,2.0
243270,0.483,0.0,0.0,0.0,2.0
244270,0.458,0.0,0.0,0.0,2.0
245270,0.409,0.0,0.0,0.0,2.0
246270,0.496,0.0,0.0,0.0,2.0
247270,0.342,0.0,0.0,0.0,2.0
248270,0.491,0.0,0.0,0.0,2.0
249270,0.514,0.0,0.0,0.0,2.0
250270,0.444,0.0,0.0,0.0,2.0
251270,0.384,0.0,0.0,0.0,2.0
252270,0.422,0.0,0.0,0.0,2.0
253270,0.416,0.0,0.0,0.0,2.0
254270,0.389,0.0,0.0,0.0,2.0
255270,0.452,0.0,0.0,0.0,2.0
256270,0.275,0.0,0.0,0.0,2.0
257270,0.31,0.0,0.0,0.0,2.0
258270,0.378,0.0,0.0,0.0,2.0
259270,0.265,0.0,0.0,0.0,2.0
260270,0.281,0.0,0.0,0.0,2.0
261270,0.309,0.0,0.0,0.0,2.0
262270,0.255,0.0,0.0,0.0,2.0
