samples,acc,prec,rec,fpr
52270,0.982,0.9923195084485407,0.9802731411229135,0.01466275659824047
53270,0.985,0.9854838709677419,0.9902755267423015,0.02349869451697128
54270,0.982,0.9873217115689382,0.9842022116903634,0.021798365122615803
55270,0.98,0.9821693907875185,0.9880418535127056,0.03625377643504532
56270,0.976,0.987012987012987,0.9743589743589743,0.02127659574468085
57270,0.984,0.9872813990461049,0.9872813990461049,0.0215633423180593
58270,0.993,0.9935897435897436,0.9951845906902087,0.010610079575596816
59270,0.984,0.987673343605547,0.987673343605547,0.022792022792022793
60270,0.989,0.9919224555735057,0.9903225806451613,0.013157894736842105
61270,0.992,0.9920127795527156,0.9951923076923077,0.013297872340425532
62270,0.97,0.9825834542815675,0.9741007194244604,0.03934426229508197
63270,0.976,0.9879081015719468,0.9831528279181708,0.05917159763313609
64270,0.987,0.9941245593419507,0.990632318501171,0.03424657534246575
65270,0.97,0.9841075794621027,0.9793187347931873,0.07303370786516854
66270,0.985,0.9933510638297872,0.9867899603698811,0.0205761316872428
67270,0.955,0.9838709677419355,0.9568627450980393,0.05106382978723404
68270,0.981,0.9887780548628429,0.987546699875467,0.04568527918781726
69270,0.974,0.9779310344827586,0.9860917941585535,0.05693950177935943
70270,0.969,0.9898348157560356,0.9713216957605985,0.04040404040404041
71270,0.952,0.9782886334610472,0.9611041405269761,0.08374384236453201
72270,0.952,0.9700598802395209,0.9585798816568047,0.06172839506172839
73270,0.976,0.9748251748251748,0.9914651493598862,0.06060606060606061
74270,0.954,0.9690721649484536,0.9633967789165446,0.06624605678233439
75270,0.96,0.9757085020242915,0.9704697986577181,0.07058823529411765
76270,0.957,0.9570815450643777,0.9809384164222874,0.09433962264150944
77270,0.917,0.9798534798534798,0.8813838550247117,0.027989821882951654
78270,0.949,0.9568345323741008,0.9693877551020408,0.09554140127388536
79270,0.951,0.9522998296422487,0.9637931034482758,0.06666666666666667
80270,0.956,0.9587813620071685,0.9622302158273381,0.0518018018018018
81270,0.95,0.9534412955465587,0.9457831325301205,0.045816733067729085
82270,0.955,0.9432624113475178,0.9761467889908257,0.07032967032967033
83270,0.908,0.9496021220159151,0.8306264501160093,0.033391915641476276
84270,0.958,0.9531568228105907,0.9609856262833676,0.04483430799220273
85270,0.925,0.952513966480447,0.8546365914786967,0.028286189683860232
86270,0.96,0.9407407407407408,0.9596977329974811,0.03980099502487562
87270,0.935,0.9367816091954023,0.7511520737327189,0.0140485312899106
88270,0.966,0.6666666666666666,0.6923076923076923,0.0189873417721519
89270,0.943,0.8307692307692308,0.7552447552447552,0.025670945157526253
90270,0.941,0.7619047619047619,0.8707482993197279,0.04689331770222743
91270,0.947,0.9662162162162162,0.7486910994764397,0.006180469715698393
92270,0.946,0.860655737704918,0.7394366197183099,0.019813519813519812
93270,0.936,0.9404761904761905,0.7452830188679245,0.012690355329949238
94270,0.877,0.9501661129568106,0.7258883248730964,0.024752475247524754
95270,0.938,0.8888888888888888,0.7,0.016666666666666666
96270,0.881,0.9607142857142857,0.713527851458886,0.01765650080256822
97270,0.936,0.9344262295081968,0.9482439926062847,0.0784313725490196
98270,0.915,0.9193548387096774,0.8260869565217391,0.03816793893129771
99270,0.917,0.9288537549407114,0.9090909090909091,0.07453416149068323
100270,0.939,0.8609756097560975,0.988795518207283,0.08864696734059098
