samples,acc,prec,rec,fpr
123270,0.919,0.9699812382739212,0.8883161512027491,0.03827751196172249
124270,0.925,0.904639175257732,0.9023136246786633,0.060556464811783964
125270,0.939,0.97632058287796,0.9178082191780822,0.03125
126270,0.92,0.9259259259259259,0.8706467661691543,0.046822742474916385
127270,0.924,0.9172413793103448,0.8364779874213837,0.03519061583577713
128270,0.948,0.9420289855072463,0.9330143540669856,0.041237113402061855
129270,0.926,0.9279538904899135,0.8679245283018868,0.0397456279809221
130270,0.896,0.9424242424242424,0.9040697674418605,0.12179487179487179
131270,0.892,0.9601181683899557,0.8891928864569083,0.10037174721189591
132270,0.838,0.9338345864661655,0.8403247631935047,0.1685823754789272
133270,0.89,0.9688888888888889,0.8802153432032301,0.08171206225680934
134270,0.898,0.939799331103679,0.8949044585987261,0.0967741935483871
135270,0.915,0.9592944369063772,0.9278215223097113,0.12605042016806722
136270,0.943,0.9768934531450578,0.95125,0.09
137270,0.894,0.9667170953101362,0.8838174273858921,0.07942238267148015
138270,0.904,0.9659574468085106,0.9043824701195219,0.09716599190283401
139270,0.929,0.9865591397849462,0.9232704402515723,0.04878048780487805
140270,0.858,0.995,0.8522483940042827,0.06060606060606061
141270,0.93,0.9953161592505855,0.9279475982532751,0.047619047619047616
142270,0.941,0.9922222222222222,0.944973544973545,0.12727272727272726
143270,0.901,0.9904988123515439,0.9016216216216216,0.10666666666666667
144270,0.933,0.9907727797001153,0.9357298474945533,0.0975609756097561
145270,0.933,0.9892601431980907,0.9346110484780158,0.07964601769911504
146270,0.947,0.994279176201373,0.9476553980370774,0.060240963855421686
147270,0.934,0.9863481228668942,0.9413680781758957,0.1518987341772152
148270,0.95,0.9897025171624714,0.9547461368653422,0.09574468085106383
149270,0.925,0.9932584269662922,0.9275970619097587,0.1276595744680851
150270,0.947,0.9896551724137931,0.9513812154696133,0.09473684210526316
151270,0.908,0.9895591647331786,0.9113247863247863,0.140625
152270,0.938,0.9919168591224018,0.9398249452954048,0.08139534883720931
153270,0.952,0.9824150058616647,0.9621125143513203,0.11627906976744186
154270,0.922,0.9758576874205845,0.9286577992744861,0.10982658959537572
155270,0.896,0.9440860215053763,0.8491295938104448,0.053830227743271224
156270,0.883,0.9640151515151515,0.8385502471169687,0.04834605597964377
157270,0.938,0.9787581699346405,0.9243827160493827,0.036931818181818184
158270,0.939,0.9881956155143339,0.915625,0.019444444444444445
159270,0.932,0.9791332263242376,0.9172932330827067,0.03880597014925373
160270,0.955,0.9903691813804173,0.9405487804878049,0.01744186046511628
161270,0.956,0.9888535031847133,0.9437689969604863,0.02046783625730994
162270,0.948,0.9685534591194969,0.9506172839506173,0.056818181818181816
163270,0.959,0.9921630094043887,0.9461883408071748,0.015105740181268883
164270,0.961,0.9936708860759493,0.947209653092006,0.011869436201780416
165270,0.958,0.9868421052631579,0.9463722397476341,0.02185792349726776
166270,0.962,0.9817351598173516,0.9612518628912071,0.0364741641337386
167270,0.959,0.9789303079416531,0.9556962025316456,0.035326086956521736
168270,0.953,0.967741935483871,0.9603658536585366,0.061046511627906974
169270,0.961,0.9815950920245399,0.95952023988006,0.036036036036036036
170270,0.972,0.9904458598726115,0.9658385093167702,0.016853932584269662
171270,0.969,0.9848024316109423,0.968609865470852,0.030211480362537766
172270,0.959,0.9752321981424149,0.9618320610687023,0.0463768115942029
173270,0.959,0.9813084112149533,0.9559939301972686,0.03519061583577713
174270,0.951,0.9780564263322884,0.9468892261001517,0.04105571847507331
175270,0.969,0.9922839506172839,0.9611360239162929,0.015105740181268883
176270,0.965,0.9921011058451816,0.9544072948328267,0.014619883040935672
177270,0.959,0.9786585365853658,0.9596412556053812,0.04229607250755287
178270,0.951,0.9724349157733537,0.9534534534534534,0.05389221556886228
179270,0.917,0.973463687150838,0.9159001314060446,0.0794979079497908
180270,0.971,0.9874411302982732,0.9676923076923077,0.022857142857142857
181270,0.963,0.9953846153846154,0.9500734214390602,0.009404388714733543
182270,0.96,0.9937402190923318,0.9463487332339792,0.0121580547112462
183270,0.974,0.9969558599695586,0.9646539027982327,0.006230529595015576
184270,0.955,0.9951534733441034,0.9361702127659575,0.008771929824561403
