samples,acc,prec,rec,fpr,hashf
173270,0.633,0.9345238095238095,0.4764795144157815,0.06451612903225806,1.0
174270,0.843,0.863768115942029,0.9044006069802731,0.2756598240469208,1.0
175270,0.86,0.8827785817655571,0.9118086696562033,0.24471299093655588,1.0
176270,0.86,0.8407894736842105,0.9711246200607903,0.3538011695906433,1.0
177270,0.758,0.7526627218934911,0.9506726457399103,0.6314199395770392,1.0
178270,0.84,0.8731563421828908,0.8888888888888888,0.25748502994011974,1.0
179270,0.844,0.8757763975155279,0.926412614980289,0.41841004184100417,1.0
180270,0.848,0.8536931818181818,0.9246153846153846,0.29428571428571426,1.0
181270,0.822,0.889922480620155,0.8428781204111601,0.2225705329153605,1.0
182270,0.836,0.8515950069348127,0.9150521609538003,0.3252279635258359,1.0
183270,0.868,0.8671140939597315,0.9513991163475699,0.308411214953271,1.0
184270,0.838,0.8502824858757062,0.9148936170212766,0.30994152046783624,1.0
185270,0.817,0.8142235123367199,0.9107142857142857,0.3333333333333333,1.0
186270,0.749,0.9136546184738956,0.6862745098039216,0.12759643916913946,1.0
187270,0.732,0.7171052631578947,0.9849397590361446,0.7678571428571429,1.0
188270,0.834,0.8809891808346213,0.8649468892261002,0.22580645161290322,1.0
189270,0.804,0.9095840867992767,0.7750385208012327,0.14245014245014245,1.0
190270,0.768,0.762119503945885,0.96987087517934,0.6963696369636964,1.0
191270,0.784,0.84992784992785,0.8402282453637661,0.34782608695652173,1.0
192270,0.845,0.8860606060606061,0.922979797979798,0.4519230769230769,1.0
193270,0.795,0.7908992416034669,0.9838274932614556,0.748062015503876,1.0
194270,0.824,0.8715083798882681,0.8813559322033898,0.3150684931506849,1.0
195270,0.809,0.7987179487179488,0.9482496194824962,0.4577259475218659,1.0
196270,0.853,0.8955650929899857,0.8942857142857142,0.24333333333333335,1.0
197270,0.732,0.91,0.718421052631579,0.225,1.0
198270,0.988,0.9909547738693467,0.9969666329625885,0.8181818181818182,1.0
199270,0.994,0.9949849548645938,0.998992950654582,0.7142857142857143,1.0
200270,0.933,0.9693396226415094,0.9524913093858632,0.1897810218978102,1.0
201270,0.788,0.9449275362318841,0.7893462469733656,0.21839080459770116,1.0
202270,0.883,0.8721518987341772,0.9773049645390071,0.3423728813559322,1.0
203270,0.874,0.8950953678474114,0.9305949008498584,0.2619047619047619,1.0
204270,0.864,0.8588661037394452,0.9740082079343365,0.4349442379182156,1.0
205270,0.794,0.8933566433566433,0.7789634146341463,0.17732558139534885,1.0
206270,0.855,0.9343434343434344,0.8396369137670197,0.11504424778761062,1.0
207270,0.834,0.8809917355371901,0.8500797448165869,0.19302949061662197,1.0
208270,0.823,0.9488636363636364,0.8257107540173053,0.18848167539267016,1.0
209270,0.852,0.8478015783540023,0.9830065359477124,0.574468085106383,1.0
210270,0.846,0.8485237483953787,0.9483500717360115,0.38943894389438943,1.0
211270,0.629,0.9752747252747253,0.49511854951185497,0.03180212014134275,1.0
212270,0.827,0.8099078341013825,0.9887482419127989,0.5709342560553633,1.0
213270,0.873,0.8610086100861009,0.9803921568627451,0.3951048951048951,1.0
214270,0.832,0.9736842105263158,0.8064102564102564,0.07727272727272727,1.0
215270,0.769,0.9155722326454033,0.7240356083086054,0.13803680981595093,1.0
216270,0.846,0.923784494086728,0.8798498122653317,0.2885572139303483,1.0
217270,0.876,0.9094707520891365,0.9171348314606742,0.22569444444444445,1.0
218270,0.77,0.7436224489795918,0.9526143790849673,0.5180412371134021,1.0
219270,0.853,0.8811544991511036,0.8708053691275168,0.17326732673267325,1.0
220270,0.785,0.9297520661157025,0.7131537242472267,0.0921409214092141,1.0
221270,0.855,0.84,0.9545454545454546,0.32044198895027626,1.0
222270,0.864,0.8880407124681934,0.935656836461126,0.3464566929133858,1.0
223270,0.86,0.8346774193548387,0.9733542319749217,0.3397790055248619,1.0
224270,0.784,0.8975409836065574,0.7251655629139073,0.12626262626262627,1.0
225270,0.657,0.9537953795379538,0.46763754045307443,0.03664921465968586,1.0
226270,0.792,0.9559164733178654,0.6855241264559068,0.047619047619047616,1.0
227270,0.85,0.8774509803921569,0.9347258485639687,0.42735042735042733,1.0
228270,0.783,0.9268929503916449,0.6525735294117647,0.06140350877192982,1.0
229270,0.797,0.7398119122257053,0.9273084479371316,0.3380855397148676,1.0
230270,0.859,0.8785578747628083,0.8574074074074074,0.1391304347826087,1.0
231270,0.798,0.7468879668049793,0.9660107334525939,0.41496598639455784,1.0
232270,0.484,0.9721115537848606,0.3240371845949535,0.02834008097165992,1.0
233270,0.828,0.8156606851549756,0.8944543828264758,0.2562358276643991,1.0
234270,0.82,0.7859281437125748,0.9341637010676157,0.3264840182648402,1.0
235270,0.699,0.645398773006135,0.9776951672862454,0.6255411255411255,1.0
236270,0.829,0.8948247078464107,0.8322981366459627,0.17696629213483145,1.0
237270,0.767,0.94106463878327,0.7101865136298422,0.10231023102310231,1.0
238270,0.826,0.8506151142355008,0.8446771378708552,0.1990632318501171,1.0
239270,0.857,0.8856259659969088,0.8925233644859814,0.20670391061452514,1.0
240270,0.742,0.6965601965601965,0.9809688581314879,0.5853080568720379,1.0
241270,0.845,0.811377245508982,0.9492119089316988,0.2937062937062937,1.0
242270,0.865,0.8998435054773083,0.8900928792569659,0.1807909604519774,1.0
243270,0.784,0.936231884057971,0.6247582205029013,0.045548654244306416,1.0
244270,0.825,0.8576998050682261,0.8118081180811808,0.15938864628820962,1.0
245270,0.865,0.8630573248407644,0.9170896785109983,0.21026894865525672,1.0
246270,0.814,0.8840579710144928,0.7261904761904762,0.0967741935483871,1.0
247270,0.833,0.8340136054421768,0.9316109422492401,0.3567251461988304,1.0
248270,0.824,0.8123827392120075,0.8506876227897839,0.20366598778004075,1.0
249270,0.86,0.8744588744588745,0.831275720164609,0.11284046692607004,1.0
250270,0.88,0.9241245136186771,0.85431654676259,0.08783783783783784,1.0
251270,0.848,0.9233576642335767,0.8214285714285714,0.109375,1.0
252270,0.842,0.8697183098591549,0.8546712802768166,0.17535545023696683,1.0
253270,0.811,0.7615894039735099,0.9845890410958904,0.4326923076923077,1.0
254270,0.803,0.7738095238095238,0.9574468085106383,0.43958868894601544,1.0
255270,0.809,0.8757894736842106,0.7591240875912408,0.13053097345132744,1.0
256270,0.685,0.9456521739130435,0.6,0.09090909090909091,1.0
257270,0.876,0.8803763440860215,0.9492753623188406,0.2870967741935484,1.0
258270,0.765,0.9531615925058547,0.6543408360128617,0.05291005291005291,1.0
259270,0.841,0.8325635103926097,0.9809523809523809,0.5471698113207547,1.0
260270,0.861,0.8737113402061856,0.9429763560500696,0.3487544483985765,1.0
261270,0.838,0.9152276295133438,0.8437047756874095,0.17475728155339806,1.0
262270,0.857,0.8888888888888888,0.9234899328859061,0.33725490196078434,1.0
263270,0.86,0.8492688413948256,0.9921156373193167,0.5606694560669456,1.0
264270,0.82,0.8106734434561627,0.953662182361734,0.4501510574018127,1.0
265270,0.833,0.8140643623361145,0.984149855907781,0.5098039215686274,1.0
266270,0.888,0.9081225033288948,0.9406896551724138,0.2509090909090909,1.0
267270,0.878419452887538,0.9008379888268156,0.9293948126801153,0.24232081911262798,1.0
0,0.6,0.0,0.0,0.4,3.0
10,0.55,0.0,0.0,0.0,3.0
30,0.425,0.425,1.0,1.0,3.0
70,0.6375,0.8571428571428571,0.17647058823529413,0.021739130434782608,3.0
150,0.59375,0.4576271186440678,0.9818181818181818,0.6095238095238096,3.0
310,0.859375,0.865979381443299,0.7241379310344828,0.06372549019607843,3.0
630,0.865625,0.9030303030303031,0.680365296803653,0.03800475059382423,3.0
1270,0.728,0.98,0.266304347826087,0.0031645569620253164,3.0
2270,0.859,0.8035190615835777,0.7873563218390804,0.10276073619631902,3.0
3270,0.72,0.9710144927536232,0.19420289855072465,0.0030534351145038168,3.0
4270,0.88,0.9074733096085409,0.7306590257879656,0.039938556067588324,3.0
5270,0.842,0.7092511013215859,0.9252873563218391,0.20245398773006135,3.0
6270,0.884,0.8644578313253012,0.8016759776536313,0.07009345794392523,3.0
7270,0.859,0.7591743119266054,0.9019073569482289,0.16587677725118483,3.0
8270,0.815,0.673866090712743,0.9017341040462428,0.2308868501529052,3.0
9270,0.898,0.8432432432432433,0.8764044943820225,0.09006211180124224,3.0
10270,0.697,0.6895074946466809,0.6708333333333333,0.27884615384615385,3.0
11270,0.575,0.819718309859155,0.44631901840490795,0.1839080459770115,3.0
12270,0.734,0.8974358974358975,0.658307210031348,0.13259668508287292,3.0
13270,0.772,0.8322033898305085,0.7919354838709678,0.26052631578947366,3.0
14270,0.786,0.7910863509749304,0.8987341772151899,0.4076086956521739,3.0
15270,0.805,0.7974025974025974,0.9402756508422665,0.4495677233429395,3.0
16270,0.829,0.8793650793650793,0.8536209553158706,0.21652421652421652,3.0
17270,0.837,0.8693623639191291,0.8761755485893417,0.23204419889502761,3.0
18270,0.807,0.8455414012738853,0.84688995215311,0.26005361930294907,3.0
19270,0.829,0.8449612403100775,0.8847402597402597,0.2604166666666667,3.0
20270,0.838,0.8641221374045801,0.8857589984350548,0.24653739612188366,3.0
21270,0.836,0.8475783475783476,0.9125766871165644,0.3074712643678161,3.0
22270,0.827,0.8268698060941828,0.9255813953488372,0.352112676056338,3.0
23270,0.783,0.7571801566579635,0.9492635024549918,0.4781491002570694,3.0
24270,0.768,0.9159663865546218,0.6942675159235668,0.10752688172043011,3.0
25270,0.834,0.8595419847328244,0.8838304552590267,0.2534435261707989,3.0
26270,0.843,0.9040650406504065,0.8501529051987767,0.17052023121387283,3.0
27270,0.833,0.8138528138528138,0.9368770764119602,0.3241206030150754,3.0
28270,0.823,0.8159420289855073,0.9184339314845025,0.3281653746770026,3.0
29270,0.823,0.8044619422572179,0.9563182527301092,0.415041782729805,3.0
30270,0.838,0.8240740740740741,0.9555214723926381,0.382183908045977,3.0
31270,0.836,0.9179487179487179,0.8223583460949464,0.138328530259366,3.0
32270,0.859,0.8780864197530864,0.901743264659271,0.2140921409214092,3.0
33270,0.784,0.922077922077922,0.7029702970297029,0.09137055837563451,3.0
34270,0.862,0.8870229007633588,0.9007751937984496,0.2084507042253521,3.0
35270,0.822,0.8622950819672132,0.8483870967741935,0.22105263157894736,3.0
36270,0.811,0.8072289156626506,0.9305555555555556,0.4090909090909091,3.0
37270,0.826,0.91651865008881,0.80248833592535,0.13165266106442577,3.0
38270,0.832,0.8347457627118644,0.9205607476635514,0.3268156424581006,3.0
39270,0.847,0.877221324717286,0.8758064516129033,0.2,3.0
40270,0.808,0.9146110056925996,0.766295707472178,0.12129380053908356,3.0
41270,0.837,0.8545454545454545,0.8938193343898574,0.2601626016260163,3.0
42270,0.85,0.8706070287539937,0.8876221498371335,0.20984455958549222,3.0
43270,0.828,0.927797833935018,0.7956656346749226,0.11299435028248588,3.0
44270,0.845,0.873015873015873,0.88,0.21333333333333335,3.0
45270,0.847,0.8534743202416919,0.9098228663446055,0.2559366754617414,3.0
46270,0.85,0.8467966573816156,0.9382716049382716,0.3125,3.0
47270,0.795,0.9393939393939394,0.7265625,0.08333333333333333,3.0
48270,0.818,0.79890560875513,0.9434571890145396,0.3858267716535433,3.0
49270,0.83,0.8522388059701492,0.8894080996884736,0.276536312849162,3.0
50270,0.834,0.8816666666666667,0.8477564102564102,0.18882978723404256,3.0
51270,0.675,0.9382352941176471,0.5120385232744783,0.05570291777188329,3.0
