samples,acc,prec,rec,fpr
31270,0.976,0.9891135303265941,0.9739663093415007,0.020172910662824207
32270,0.967,0.9791666666666666,0.9683042789223455,0.03523035230352303
33270,0.981,0.9835255354200988,0.9851485148514851,0.025380710659898477
34270,0.969,0.9967637540453075,0.9550387596899225,0.005633802816901409
35270,0.978,0.988562091503268,0.9758064516129032,0.018421052631578946
36270,0.96,0.9764890282131662,0.9614197530864198,0.04261363636363636
37270,0.97,0.9904,0.9626749611197511,0.01680672268907563
38270,0.979,0.9859154929577465,0.9813084112149533,0.025139664804469275
39270,0.965,0.968,0.9758064516129032,0.05263157894736842
40270,0.978,0.9903069466882067,0.9745627980922098,0.016172506738544475
41270,0.972,0.9870759289176091,0.9683042789223455,0.02168021680216802
42270,0.977,0.9900497512437811,0.9723127035830619,0.015544041450777202
43270,0.979,0.9905808477237049,0.9767801857585139,0.01694915254237288
44270,0.976,0.9838969404186796,0.9776,0.02666666666666667
45270,0.984,0.9934747145187602,0.9806763285024155,0.010554089709762533
46270,0.965,0.9872813990461049,0.9583333333333334,0.022727272727272728
47270,0.977,0.9889064976228209,0.975,0.019444444444444445
48270,0.976,0.9790660225442834,0.9822294022617124,0.03412073490813648
49270,0.977,0.9798449612403101,0.9844236760124611,0.036312849162011177
50270,0.978,0.9823717948717948,0.9823717948717948,0.02925531914893617
51270,0.983,0.9779179810725552,0.9951845906902087,0.03713527851458886
52270,0.982,0.9938366718027735,0.9787556904400607,0.011730205278592375
53270,0.971,0.9819672131147541,0.9708265802269044,0.028720626631853787
54270,0.972,0.9793977812995246,0.976303317535545,0.035422343324250684
55270,0.984,0.9851411589895989,0.9910313901345291,0.030211480362537766
56270,0.973,0.9760765550239234,0.9807692307692307,0.0398936170212766
57270,0.985,0.9935691318327974,0.9825119236883942,0.01078167115902965
58270,0.986,0.9856459330143541,0.9919743178170144,0.023872679045092837
59270,0.981,0.9921875,0.9784283513097073,0.014245014245014245
60270,0.978,0.9822580645161291,0.9822580645161291,0.02894736842105263
61270,0.985,0.9872,0.9887820512820513,0.02127659574468085
62270,0.96,0.9795021961932651,0.962589928057554,0.04590163934426229
63270,0.955,0.9937185929648241,0.9518652226233454,0.029585798816568046
64270,0.974,0.9987951807228915,0.9707259953161592,0.00684931506849315
65270,0.954,0.9874371859296482,0.9562043795620438,0.056179775280898875
66270,0.97,0.9776609724047306,0.9828269484808454,0.06995884773662552
67270,0.954,0.9786950732356857,0.9607843137254902,0.06808510638297872
68270,0.967,0.9961340206185567,0.962640099626401,0.015228426395939087
69270,0.969,0.9725274725274725,0.9847009735744089,0.0711743772241993
70270,0.966,0.9923076923076923,0.9650872817955112,0.030303030303030304
71270,0.962,0.9859154929577465,0.9661229611041405,0.054187192118226604
72270,0.949,0.971342383107089,0.9526627218934911,0.05864197530864197
73270,0.968,0.9679218967921897,0.9871977240398293,0.07744107744107744
74270,0.938,0.9655172413793104,0.9428989751098097,0.07255520504731862
75270,0.944,0.9751724137931035,0.9489932885906041,0.07058823529411765
76270,0.957,0.9531914893617022,0.9853372434017595,0.10377358490566038
77270,0.925,0.9143302180685359,0.9670510708401977,0.13994910941475827
78270,0.944,0.9525862068965517,0.9664723032069971,0.10509554140127389
79270,0.953,0.9494097807757167,0.9706896551724138,0.07142857142857142
80270,0.948,0.9405594405594405,0.9676258992805755,0.07657657657657657
81270,0.96,0.9616935483870968,0.9578313253012049,0.037848605577689244
82270,0.949,0.9410714285714286,0.9669724770642202,0.07252747252747253
83270,0.939,0.9282407407407407,0.9303944315545244,0.054481546572934976
84270,0.962,0.9445544554455445,0.9794661190965093,0.05458089668615984
85270,0.946,0.9280397022332506,0.9373433583959899,0.048252911813643926
86270,0.971,0.9532019704433498,0.9748110831234257,0.03150912106135987
87270,0.945,0.8820754716981132,0.8617511520737328,0.031928480204342274
88270,0.937,0.43037974683544306,0.6538461538461539,0.04746835443037975
89270,0.931,0.7202380952380952,0.8461538461538461,0.05484247374562427
90270,0.926,0.7417218543046358,0.7619047619047619,0.04572098475967175
91270,0.936,0.7847533632286996,0.9162303664921466,0.059332509270704575
92270,0.94,0.7440476190476191,0.8802816901408451,0.05011655011655012
93270,0.938,0.7906976744186046,0.9622641509433962,0.06852791878172589
94270,0.941,0.9197994987468672,0.9314720812182741,0.052805280528052806
95270,0.949,0.7738693467336684,0.9625,0.05357142857142857
96270,0.936,0.9064935064935065,0.9257294429708223,0.05778491171749599
97270,0.92,0.930841121495327,0.9205175600739371,0.08061002178649238
98270,0.931,0.8538461538461538,0.9652173913043478,0.08702290076335878
99270,0.923,0.9247104247104247,0.9264990328820116,0.08074534161490683
100270,0.95,0.8925831202046036,0.9775910364145658,0.06531881804043546
101270,0.927,0.9117647058823529,0.8066914498141264,0.028727770177838577
102270,0.915,0.8801652892561983,0.9403973509933775,0.10603290676416818
103270,0.929,0.7883817427385892,0.9047619047619048,0.06455696202531645
104270,0.877,0.7647058823529411,0.5735294117647058,0.04522613065326633
105270,0.91,0.7611464968152867,0.9409448818897638,0.10053619302949061
106270,0.891,0.936026936026936,0.886762360446571,0.10187667560321716
107270,0.927,0.680952380952381,0.959731543624161,0.07873090481786134
108270,0.916,0.690566037735849,0.9891891891891892,0.10061349693251534
109270,0.864,0.9702517162471396,0.7751371115173674,0.02869757174392936
110270,0.919,0.8970588235294118,0.9302832244008714,0.09057301293900184
111270,0.87,0.9763948497854077,0.7926829268292683,0.025821596244131457
112270,0.915,0.9080675422138836,0.9307692307692308,0.10208333333333333
113270,0.935,0.9198473282442748,0.9544554455445544,0.08484848484848485
114270,0.912,0.8426966292134831,0.9541984732824428,0.11532125205930807
115270,0.858,0.9801324503311258,0.7694974003466204,0.02127659574468085
116270,0.922,0.8631090487238979,0.9514066496163683,0.09688013136288999
117270,0.929,0.9278937381404174,0.9367816091954023,0.0794979079497908
118270,0.912,0.9852941176470589,0.8527272727272728,0.015555555555555555
119270,0.912,0.8140096618357487,0.9683908045977011,0.11809815950920245
120270,0.935,0.956989247311828,0.8790123456790123,0.02689075630252101
121270,0.947,0.9265033407572383,0.9541284403669725,0.05851063829787234
122270,0.939,0.8785046728971962,0.9276315789473685,0.05603448275862069
123270,0.941,0.9351081530782029,0.9656357388316151,0.09330143540669857
124270,0.928,0.8677494199535963,0.961439588688946,0.09328968903436989
125270,0.874,0.9851694915254238,0.7962328767123288,0.016826923076923076
126270,0.928,0.9004854368932039,0.9228855721393034,0.06856187290969899
127270,0.941,0.8668555240793201,0.9622641509433962,0.0689149560117302
128270,0.948,0.9668367346938775,0.9066985645933014,0.022336769759450172
129270,0.938,0.963963963963964,0.8652291105121294,0.019077901430842606
130270,0.933,0.9294605809128631,0.9767441860465116,0.16346153846153846
131270,0.947,0.9507978723404256,0.9781121751025992,0.137546468401487
132270,0.927,0.9258312020460358,0.979702300405954,0.2222222222222222
133270,0.921,0.9598337950138505,0.9327052489905787,0.11284046692607004
134270,0.921,0.9309262166405023,0.9442675159235668,0.11827956989247312
135270,0.941,0.9455006337135615,0.979002624671916,0.18067226890756302
136270,0.816,0.9502923976608187,0.8125,0.17
